timestamp,leader_x,leader_y,leader_velocity,leader_acceleration,leader_curvature,follower_x,follower_y,follower_velocity,follower_acceleration,desired_distance,actual_distance,distance_error,z1,z2,z3,z4,commanded_accel,commanded_velocity,commanded_angular
3487199976.699883,0.108375,0.035590,0.000000,0.000000,0.000000,-1.015941,0.057617,-0.145221,-0.047886,1.213695,1.124532,-0.089163,-0.081352,0.117326,0.144261,-0.016674,0.203743,-0.148719,0.088333
3487199976.739712,0.108375,0.035590,0.000000,0.000000,0.000000,-1.018741,0.057929,-0.140850,0.268445,1.214787,1.127336,-0.087451,-0.079783,0.115883,0.139935,-0.016026,0.193599,-0.144847,0.087301
3487199976.782487,0.108375,0.035590,0.000000,0.000000,0.000000,-1.021478,0.058246,-0.134381,0.321498,1.216405,1.130080,-0.086325,-0.078789,0.114550,0.133524,-0.015158,0.172697,-0.141393,0.086264
3487199976.819743,0.108375,0.035590,0.000000,0.000000,0.000000,-1.024161,0.058555,-0.136766,-0.238494,1.215808,1.132768,-0.083040,-0.075649,0.112982,0.135909,-0.015293,0.195836,-0.137477,0.085388
3487199976.859704,0.108375,0.035590,0.000000,0.000000,0.000000,-1.025477,0.058696,-0.131697,0.122597,1.217076,1.134087,-0.082989,-0.075657,0.112405,0.130878,-0.014663,0.175981,-0.133957,0.084861
3487199976.899673,0.108375,0.035590,0.000000,0.000000,0.000000,-1.029328,0.059120,-0.128159,0.133128,1.217960,1.137946,-0.080015,-0.072873,0.110392,0.127382,-0.014092,0.174361,-0.130470,0.083508
3487199976.939823,0.108375,0.035590,0.000000,0.000000,0.000000,-1.031803,0.059406,-0.121701,0.337865,1.219575,1.140426,-0.079149,-0.072118,0.109237,0.120975,-0.013277,0.152385,-0.127422,0.082583
3487199976.979681,0.108375,0.035590,0.000000,0.000000,0.000000,-1.034226,0.059664,-0.120948,-0.039835,1.219763,1.142855,-0.076908,-0.069998,0.107935,0.120238,-0.013090,0.158721,-0.124248,0.081758
3487199977.020974,0.108375,0.035590,0.000000,0.000000,0.000000,-1.036589,0.059925,-0.118222,0.008767,1.220444,1.145222,-0.075222,-0.068422,0.106737,0.117538,-0.012697,0.154929,-0.121149,0.080930
3487199977.059607,0.108375,0.035590,0.000000,0.000000,0.000000,-1.038892,0.060171,-0.115218,0.218566,1.221196,1.147530,-0.073666,-0.066974,0.105568,0.114561,-0.012279,0.149498,-0.118159,0.080109
3487199977.100196,0.108375,0.035590,0.000000,0.000000,0.000000,-1.041143,0.060413,-0.112824,0.060454,1.221794,1.149785,-0.072009,-0.065415,0.104480,0.112191,-0.011940,0.146875,-0.115222,0.079367
